"name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","log_price","days_since_last_review"
"Little King of Queens","Queens","Woodside",40.75038,-73.90334,"Private room",70,30,25,"2019-05-31",0.22,1,324,4.26267987704132,38
"Fort Greene Retreat on the Park","Brooklyn","Fort Greene",40.6932,-73.97267,"Private room",95,3,143,"2019-06-16",1.28,1,132,4.56434819146784,22
"Beautiful Meatpacking District Loft","Manhattan","Chelsea",40.74138,-74.00197,"Private room",150,3,167,"2019-05-28",1.65,1,295,5.01727983681492,41
"Cozy 2 BR in Williamsburg ","Brooklyn","Williamsburg",40.71154,-73.96112,"Private room",145,3,61,"2019-04-22",0.54,4,238,4.98360662170834,77
"Spacious luminous apt Upper West NYC","Manhattan","Harlem",40.82915,-73.95136,"Entire home/apt",110,31,54,"2019-03-23",0.49,1,209,4.70953020131233,107
"Entire 2 Bedroom - Large & Sunny","Manhattan","Lower East Side",40.71851,-73.98892,"Entire home/apt",285,5,70,"2019-06-30",0.62,1,328,5.65599181081985,8
"Sunny, Spacious Top Floor Haven","Brooklyn","Flatbush",40.65401,-73.96323,"Entire home/apt",130,6,16,"2019-06-15",0.15,1,38,4.87519732320115,23
"Private room Great Deal at Lower East Side","Manhattan","Lower East Side",40.7114,-73.98794,"Private room",94,30,94,"2019-04-08",0.84,1,188,4.55387689160054,91
"2 bedroom Williamsburg Apt - Bedford L stop","Brooklyn","Williamsburg",40.71833,-73.95748,"Entire home/apt",105,3,61,"2018-08-09",0.53,1,272,4.66343909411207,333
"Oh glorious spring!","Manhattan","East Village",40.72334,-73.9844,"Private room",60,3,194,"2019-06-30",1.73,1,26,4.11087386417331,8
"Great Location for NYC","Manhattan","East Village",40.72912,-73.98057,"Private room",50,1,2,"2016-02-14",0.05,1,0,3.93182563272433,1240
"Cozy Bedroom in Williamsburg 3 BR","Brooklyn","Williamsburg",40.71156,-73.96218,"Private room",85,3,174,"2019-06-22",1.54,4,288,4.45434729625351,16
"Sunny room+Pvte office in huge loft","Brooklyn","Bushwick",40.70032,-73.9383,"Private room",65,4,24,"2019-05-26",0.28,1,317,4.18965474202643,43
"Spacious Prospect Heights Apartment","Brooklyn","Prospect Heights",40.68233,-73.97261,"Entire home/apt",131,4,166,"2019-06-27",3.4,1,207,4.88280192258637,11
"Large Parlor Room, Landmark Home 1 block to PRATT","Brooklyn","Clinton Hill",40.68634,-73.966,"Private room",98,7,16,"2019-05-31",0.2,6,185,4.59511985013459,38
"2-bed brownstone duplex + garden","Brooklyn","Prospect Heights",40.68035,-73.97162,"Entire home/apt",250,7,21,"2019-05-21",0.3,1,158,5.52545293913178,48
"Charming 1 bed GR8 WBurg LOCATION!","Brooklyn","Williamsburg",40.70984,-73.95775,"Entire home/apt",100,5,168,"2018-07-22",1.57,1,0,4.61512051684126,351
"Sunny Apartment in Artist Home","Brooklyn","Bushwick",40.70093,-73.92609,"Entire home/apt",105,3,118,"2019-06-18",1.05,2,9,4.66343909411207,20
"Light-filled classic Central Park ","Manhattan","Upper West Side",40.79764,-73.96177,"Entire home/apt",140,3,81,"2019-07-07",0.71,1,198,4.94875989037817,1
"Upper Manhattan, New York","Manhattan","Harlem",40.82803,-73.94731,"Private room",89,1,1,"2018-10-09",0.11,1,365,4.49980967033027,272
"COZY QUIET room 4 DOOGLERS!","Manhattan","Chelsea",40.74008,-74.00271,"Private room",98,30,30,"2019-05-01",0.27,2,364,4.59511985013459,68
"The Stuydio Modern and Light Filled","Brooklyn","Bedford-Stuyvesant",40.68413,-73.92357,"Entire home/apt",125,7,139,"2018-10-28",1.23,2,311,4.83628190695148,253
"loft bed - near transportation-15min to times sq","Manhattan","Harlem",40.82279,-73.95139,"Private room",60,3,11,"2019-01-03",0.87,3,219,4.11087386417331,186
"House On Henry (3rd FLR Suite)","Brooklyn","Carroll Gardens",40.67967,-74.00154,"Entire home/apt",175,2,233,"2019-06-24",2.09,3,342,5.17048399503815,14
"Monkey Retreat Manhattan","Manhattan","Washington Heights",40.83927,-73.94281,"Private room",65,2,68,"2012-11-01",0.6,1,312,4.18965474202643,2440
"2000 SF 3br 2bath West Village private  townhouse","Manhattan","West Village",40.73096,-74.00319,"Entire home/apt",500,4,46,"2019-05-18",0.55,2,243,6.21660610108486,51
"Williamsburg—Steps To Subway, Private Bath&Balcony","Brooklyn","Williamsburg",40.71332,-73.94177,"Private room",101,3,335,"2019-05-29",3.02,1,152,4.62497281328427,40
"Beautiful Duplex Apartment","Brooklyn","Park Slope",40.66941,-73.98109,"Entire home/apt",220,30,88,"2018-11-02",0.79,1,9,5.39816270151775,248
"Large 2 Bedroom Great for Groups!","Brooklyn","Bedford-Stuyvesant",40.68373,-73.92377,"Entire home/apt",125,90,162,"2019-06-28",1.46,2,137,4.83628190695148,10
"Modern Brooklyn Apt., August sublet","Brooklyn","Williamsburg",40.71459,-73.94844,"Entire home/apt",80,30,29,"2018-05-26",0.4,1,222,4.39444915467244,408
"1,800 sq foot in luxury building","Manhattan","Harlem",40.8092,-73.94421,"Private room",100,2,170,"2019-06-23",1.61,1,346,4.61512051684126,15
"Sunny 2-story Brooklyn townhouse w deck and garden","Brooklyn","Gowanus",40.68157,-73.98989,"Entire home/apt",200,30,19,"2017-03-17",0.2,1,208,5.30330490805908,843
"Times Square, Safe, Clean and Cozy!","Manhattan","Hell's Kitchen",40.75527,-73.99291,"Private room",59,2,334,"2019-06-16",3,2,279,4.0943445622221,22
"Cozy Room #3, Landmark Home 1 Block to PRATT","Brooklyn","Clinton Hill",40.68698,-73.96572,"Private room",125,2,19,"2019-06-02",0.2,6,250,4.83628190695148,36
"Beautiful Apartment East Village","Manhattan","East Village",40.7288,-73.98192,"Entire home/apt",140,7,12,"2017-12-11",0.13,1,164,4.94875989037817,574
"Park Slope Green Guest House","Brooklyn","South Slope",40.66853,-73.98912,"Entire home/apt",120,30,467,"2018-12-30",4.22,2,192,4.79579054559674,190
"2 BR / 2 Bath Duplex Apt with patio! East Village","Manhattan","East Village",40.7254,-73.98157,"Entire home/apt",350,2,7,"2017-08-09",0.06,4,298,5.86078622346587,698
"NYC fabulous views Manhattan's eye","Manhattan","Kips Bay",40.74294,-73.98009,"Entire home/apt",199,5,38,"2015-12-02",0.38,1,260,5.29831736654804,1314
"2 story family home in Williamsburg","Brooklyn","Williamsburg",40.71942,-73.95748,"Entire home/apt",325,3,324,"2019-06-23",3.01,1,107,5.78689738136671,15
"Comfortable UWS 2-BD Family-Friendly Brownstone","Manhattan","Upper West Side",40.77823,-73.97637,"Entire home/apt",235,6,27,"2019-04-27",0.27,1,199,5.46383180502561,72
"Great Large 1 BR apt  in East Village!","Manhattan","East Village",40.72555,-73.97965,"Entire home/apt",225,1,115,"2019-06-07",1.05,4,299,5.42053499927229,31
"Eveland Private Bed & Living Room w/ Own Entrance","Brooklyn","South Slope",40.66831,-73.98604,"Private room",99,2,354,"2019-05-20",3.2,3,20,4.60517018598809,49
"Sugar Hill Rest Stop ","Manhattan","Harlem",40.82754,-73.94919,"Entire home/apt",170,2,195,"2019-07-01",2.03,1,318,5.14166355650266,7
"3 Story Town House in Park Slope","Brooklyn","South Slope",40.66499,-73.97925,"Entire home/apt",400,2,16,"2018-12-30",0.24,2,216,5.99396142730657,190
"apartment next to Central park","Manhattan","Upper West Side",40.77842,-73.97556,"Entire home/apt",170,7,13,"2019-06-26",0.12,1,224,5.14166355650266,12
"East Village Sanctuary","Manhattan","East Village",40.72245,-73.98527,"Entire home/apt",100,4,25,"2011-12-10",0.23,1,0,4.61512051684126,2767
"Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.","Brooklyn","Prospect-Lefferts Gardens",40.65593,-73.96053,"Private room",75,2,9,"2018-10-05",0.08,1,324,4.33073334028633,276
"Modern Apt with Spectacular Views","Brooklyn","Williamsburg",40.71923,-73.96468,"Private room",90,1,9,"2011-09-18",0.08,1,245,4.51085950651685,2850
"Garden studio in the Upper East Sid","Manhattan","Upper East Side",40.778,-73.94822,"Entire home/apt",150,5,21,"2017-08-15",0.19,1,189,5.01727983681492,692
"Secluded Master Bedroom in Beautiful Huge Apt","Manhattan","Washington Heights",40.85879,-73.93128,"Private room",85,15,36,"2017-08-17",0.33,1,307,4.45434729625351,690
"B & B Room 1","Brooklyn","Bedford-Stuyvesant",40.68332,-73.9547,"Private room",70,3,63,"2019-05-14",0.58,2,310,4.26267987704132,55
"ACCOMMODATIONS GALORE #1","Manhattan","Harlem",40.81618,-73.94894,"Entire home/apt",120,3,155,"2019-06-20",1.42,3,213,4.79579054559674,18
"Sunny Room in New Condo","Brooklyn","Clinton Hill",40.68414,-73.96351,"Private room",89,3,260,"2019-07-03",2.35,1,278,4.49980967033027,5
"Stylish & Sleek Apartment Near SoHo!","Manhattan","East Village",40.72392,-73.99143,"Entire home/apt",185,5,73,"2019-06-25",0.66,1,209,5.2257466737132,13
"NYC artists’ loft with roof deck","Brooklyn","Greenpoint",40.73494,-73.9503,"Private room",50,3,193,"2019-05-20",1.86,1,0,3.93182563272433,49
"Unique & Charming small 1br Apt. LES","Manhattan","Lower East Side",40.71341,-73.98856,"Entire home/apt",105,3,32,"2019-06-14",0.29,1,16,4.66343909411207,24
"Most Central Location!","Manhattan","Hell's Kitchen",40.76754,-73.98399,"Private room",130,2,50,"2019-05-26",0.45,3,234,4.87519732320115,43
"Luminous Beautiful West Village Studio","Manhattan","West Village",40.73442,-74.00303,"Entire home/apt",115,29,26,"2019-07-01",0.25,1,12,4.75359019110636,7
"Sanctuary in East Flatbush","Brooklyn","Flatlands",40.63188,-73.93248,"Private room",77,2,2,"2019-01-01",0.02,1,178,4.35670882668959,188
"Room with En Suite Bathroom & Deck","Brooklyn","Clinton Hill",40.6873,-73.9634,"Private room",76,2,426,"2019-06-24",3.89,3,275,4.34380542185368,14
"FLAT MACDONOUGH","Brooklyn","Bedford-Stuyvesant",40.68296,-73.93662,"Entire home/apt",125,3,227,"2019-06-23",2.09,2,163,4.83628190695148,15
"Huge Private  Floor at The Waverly","Brooklyn","Clinton Hill",40.6863,-73.96765,"Private room",135,4,84,"2019-07-01",0.77,3,365,4.91265488573605,7
"Modern Greenpoint, Brooklyn Apt","Brooklyn","Greenpoint",40.73409,-73.95348,"Entire home/apt",250,29,3,"2017-07-30",0.03,1,34,5.52545293913178,708
"Sun-drenched, artsy modernist 1 BDRM duplex","Brooklyn","Williamsburg",40.71561,-73.94835,"Entire home/apt",199,3,10,"2018-06-11",0.1,1,280,5.29831736654804,392
"Sunny, Cobble Hill Apartment","Brooklyn","Cobble Hill",40.6857,-73.99183,"Entire home/apt",140,2,4,"2016-04-24",0.04,1,0,4.94875989037817,1170
"Fully Furnished Basement Apartment","Queens","Flushing",40.74028,-73.83168,"Private room",140,2,1,"2011-09-19",0.01,1,1,4.94875989037817,2849
"FLAT MACDONOUGH GARDEN","Brooklyn","Bedford-Stuyvesant",40.68281,-73.93524,"Entire home/apt",115,3,124,"2019-06-20",1.72,2,170,4.75359019110636,18
"Light filled Williamsburg Apartment","Brooklyn","Williamsburg",40.71596,-73.93938,"Entire home/apt",160,3,11,"2019-07-02",0.11,1,188,5.08140436498446,6
"Retreat in Williamsburg","Brooklyn","Williamsburg",40.71492,-73.95935,"Entire home/apt",195,4,240,"2019-06-17",2.19,1,214,5.27811465923052,21
"NYC Zen","Manhattan","East Village",40.72354,-73.98295,"Entire home/apt",195,3,30,"2019-06-17",0.28,1,248,5.27811465923052,21
"Cozy BR in Wiliamsburg 3 Bedroom","Brooklyn","Williamsburg",40.71165,-73.96087,"Private room",80,3,200,"2019-06-22",1.86,4,262,4.39444915467244,16
"Sunny Room in Old Historical Brooklyn Townhouse","Brooklyn","Fort Greene",40.69101,-73.97312,"Private room",44,8,27,"2019-06-29",1.05,5,280,3.80666248977032,9
"Sun Filled Classic West Village Apt","Manhattan","West Village",40.73474,-74.00101,"Private room",156,4,79,"2019-06-22",0.74,1,307,5.05624580534831,16
"Lg Rm in Historic Prospect Heights","Brooklyn","Prospect Heights",40.67386,-73.96641,"Private room",85,15,9,"2013-05-10",0.09,1,339,4.45434729625351,2250
"Classic Artist Loft Williamsburg","Brooklyn","Williamsburg",40.71536,-73.96057,"Private room",125,3,155,"2019-06-13",1.61,1,1,4.83628190695148,25
"Great location. Spacious on PROSPECT PARK","Brooklyn","Prospect Heights",40.6741,-73.96595,"Entire home/apt",115,15,4,"2018-08-27",0.05,1,269,4.75359019110636,315
"Private Bdrm/Bathrm. New! Elevator!","Manhattan","East Harlem",40.79295,-73.93997,"Private room",69,2,34,"2017-05-29",0.32,1,10,4.24849524204936,770
"Sunny, clean 1 bdrm in W. Village","Manhattan","West Village",40.73226,-74.00401,"Entire home/apt",225,45,134,"2019-03-31",1.24,1,312,5.42053499927229,99
"Great location in Williamsburg","Brooklyn","Williamsburg",40.71363,-73.96398,"Entire home/apt",125,6,27,"2018-12-27",0.25,1,189,4.83628190695148,193
"Light and Airy Upper East Side 1 BDR apartment","Manhattan","Upper East Side",40.77711,-73.9527,"Entire home/apt",219,4,126,"2019-06-26",1.16,2,290,5.39362754635236,12
"Luxury Brownstone in Boerum Hill","Brooklyn","Boerum Hill",40.68559,-73.98094,"Entire home/apt",475,3,23,"2018-12-31",0.27,1,230,6.16541785423142,189
"CENTRAL PARK LOFT all for YOU","Manhattan","Upper East Side",40.77456,-73.95323,"Entire home/apt",99,1,234,"2019-06-08",2.6,2,164,4.60517018598809,30
"Indie-Chic Share In Williamsburg","Brooklyn","Williamsburg",40.71088,-73.95055,"Private room",69,4,202,"2019-05-28",1.86,2,53,4.24849524204936,41
"A room w/ a Manhattan view, longer stay","Queens","Sunnyside",40.74559,-73.92313,"Private room",79,30,28,"2019-04-12",0.26,1,126,4.38202663467388,87
"Private, Large & Sunny 1BR w/W&D","Brooklyn","Bedford-Stuyvesant",40.68306,-73.94659,"Entire home/apt",135,2,309,"2019-06-22",2.86,2,3,4.91265488573605,16
"Luxurious Condo in DUBMO with View","Brooklyn","DUMBO",40.70207,-73.98571,"Private room",250,3,14,"2011-04-25",0.13,1,189,5.52545293913178,2996
"Charming & Cozy midtown loft any WEEK ENDS  !!!","Manhattan","Upper East Side",40.76123,-73.9642,"Entire home/apt",250,3,4,"2016-09-23",0.08,1,365,5.52545293913178,1018
"* Spacious GARDEN Park Slope Duplex* 6 people max","Brooklyn","Gowanus",40.66858,-73.99083,"Entire home/apt",250,2,80,"2019-07-06",2.17,1,0,5.52545293913178,2
"Convenient cozy cheap apt Manhattan","Manhattan","Harlem",40.82704,-73.94907,"Entire home/apt",80,3,2,"2015-11-02",0.04,1,0,4.39444915467244,1344
"Parlor Room In Victorian Townhouse","Brooklyn","Clinton Hill",40.68843,-73.96408,"Private room",70,2,294,"2019-06-24",3.47,3,336,4.26267987704132,14
"House On Henry (2nd FLR Suite)","Brooklyn","Carroll Gardens",40.6783,-74.00135,"Entire home/apt",165,2,150,"2019-06-18",1.4,3,342,5.11198778835654,20
